oem,model,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,features_sensors,platform_os
Honor,30 Pro,2020,2020,160.3 x 73.6 x 8.4 mm (6.31 x 2.90 x 0.33 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Honor,30,2020,2020,160.3 x 74.2 x 8.1 mm (6.31 x 2.92 x 0.32 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
Honor,20e,2020,2020,154.8 x 73.6 x 8 mm (6.09 x 2.90 x 0.31 in),,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Honor,Play 4T Pro,2020,2020,157.4 x 73.2 x 7.8 mm (6.20 x 2.88 x 0.31 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
Honor,Play 4T,2020,2020,159.8 x 76.1 x 8.1 mm (6.29 x 3.00 x 0.32 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1560 pixels
Honor,8A 2020,2020,2020,156.3 x 73.5 x 8.2 mm (6.15 x 2.89 x 0.32 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1560 pixels
Honor,8A Prime,2020,2020,156.3 x 73.5 x 8.2 mm (6.15 x 2.89 x 0.32 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1560 pixels
Honor,30S,2020,2020,162.3 x 75 x 8.6 mm (6.39 x 2.95 x 0.34 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
Honor,Play 9A,2020,2020,159.1 x 74.1 x 9 mm (6.26 x 2.92 x 0.35 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1600 pixels
Honor,View30 Pro,2020,2020,162.7 x 75.8 x 8.8 mm (6.41 x 2.98 x 0.35 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
Honor,View30,2020,2020,162.7 x 75.8 x 8.9 mm (6.41 x 2.98 x 0.35 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
Honor,V30 Pro,2019,2019,162.7 x 75.8 x 8.8 mm (6.41 x 2.98 x 0.35 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
Honor,MagicWatch 2,2019,2019,45.9 x 45.9 x 10.7 mm (1.81 x 1.81 x 0.42 in),,,OLED capacitive touchscreen,,1.39,454 x 454 pixels,1:1 ratio (~326 ppi density)
Honor,9X,2019,2019,163.5 x 77.3 x 8.8 mm (6.44 x 3.04 x 0.35 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Honor,20 lite (China),2019,2019,157.2 x 73.2 x 7.7 mm (6.19 x 2.88 x 0.30 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
Honor,Play 3e,2019,2019,147.1 x 70.8 x 8.5 mm (5.79 x 2.79 x 0.33 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1520 pixels
Honor,Play 3,2019,2019,159.8 x 76.1 x 8.1 mm (6.29 x 3.00 x 0.32 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1560 pixels
Honor,20S,2019,2019,154.3 x 74 x 7.9 mm (6.07 x 2.91 x 0.31 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Honor,9X Pro,2019,2019,163.5 x 77.3 x 8.8 mm (6.44 x 3.04 x 0.35 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Honor,9X (China),2019,2019,163.1 x 77.2 x 8.8 mm (6.42 x 3.04 x 0.35 in),,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Honor,8S,2019,2019,147.1 x 70.8 x 8.5 mm (5.79 x 2.79 x 0.33 in),,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1520 pixels
Honor,Pad 5 10.1,2019,2019,243 x 164 x 7.8 mm (9.57 x 6.46 x 0.31 in),,Nano-SIM,IPS LCD capacitive touchscreen,,10.1,1920 x 1200 pixels,16:10 ratio (~224 ppi density)
Honor,Pad 5 8,2019,2019,204.2 x 122.2 x 8.2 mm (8.04 x 4.81 x 0.32 in),,Nano-SIM,IPS LCD capacitive touchscreen,,8,1920 x 1200 pixels,16:10 ratio (~283 ppi density)
Honor,20 Pro,2019,2019,154.6 x 74 x 8.4 mm (6.09 x 2.91 x 0.33 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Honor,20,2019,2019,154.3 x 74 x 7.9 mm (6.07 x 2.91 x 0.31 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Honor,20 lite,2019,2019,154.8 x 73.6 x 8 mm (6.09 x 2.90 x 0.31 in),,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
HP,Slate8 Pro,2013,Discontinued,220 x 141.5 x 9.9 mm (8.66 x 5.57 x 0.39 in),,,Capacitive touchscreen,,8,1200 x 1600 pixels,4:3 ratio (~250 ppi density)
HTC,U20 5G,2020,2020,171.2 x 78.1 x 9.4 mm (6.74 x 3.07 x 0.37 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
HTC,Desire 20 Pro,2020,2020,162 x 77 x 9.4 mm (6.38 x 3.03 x 0.37 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
HTC,Wildfire R70,2020,2020,163.2 x 77.8 x 8.9 mm (6.43 x 3.06 x 0.35 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1560 pixels
HTC,Desire 19s,2019,2019,156.2 x 74.8 x 8.5 mm (6.15 x 2.94 x 0.33 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1520 pixels
HTC,Exodus 1s,2019,2019,154.2 x 72.7 x 8.3 mm (6.07 x 2.86 x 0.33 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1440 pixels
HTC,Wildfire X,2019,2019,156.7 x 74.9 x 8 mm (6.17 x 2.95 x 0.31 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1520 pixels
HTC,U19e,2019,2019,156.6 x 75.9 x 8 mm (6.17 x 2.99 x 0.31 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2160 pixels
HTC,Desire 19+,2019,2019,156.2 x 74.8 x 8.5 mm (6.15 x 2.94 x 0.33 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1520 pixels
HTC,Schubert,,Discontinued,,,Mini-SIM,TFT capacitive touchscreen,,,,Accelerometer
Huawei,Enjoy 20 Pro,2020,2020,160 x 75.3 x 8.4 mm (6.30 x 2.96 x 0.33 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
Huawei,Enjoy Z 5G,2020,2020,160 x 75.3 x 8.4 mm (6.30 x 2.96 x 0.33 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
Huawei,P Smart S,2020,2020,157.4 x 73.2 x 7.8 mm (6.20 x 2.88 x 0.31 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
Huawei,Y8p,2020,2020,157.4 x 73.2 x 7.8 mm (6.20 x 2.88 x 0.31 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
Huawei,P40 lite 5G,2020,2020,162.3 x 75 x 8.6 mm (6.39 x 2.95 x 0.34 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
Huawei,P30 Pro New Edition,2020,2020,158 x 73.4 x 8.4 mm (6.22 x 2.89 x 0.33 in),,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Huawei,MatePad T8,2020,2020,199.7 x 121.1 x 8.6 mm (7.86 x 4.77 x 0.34 in),,Nano-SIM,IPS LCD capacitive touchscreen,,8,800 x 1280 pixels,16:10 ratio (~189 ppi density)
Huawei,Y8s,2020,2020,162.4 x 77.1 x 8.1 mm (6.39 x 3.04 x 0.32 in),,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Huawei,Y6p,2020,2020,159.1 x 74.1 x 9 mm (6.26 x 2.92 x 0.35 in),,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1600 pixels
Huawei,Y5p,2020,2020,146.5 x 70.9 x 8.4 mm (5.77 x 2.79 x 0.33 in),,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1440 pixels
Huawei,P smart 2020,2020,2020,155.2 x 73.4 x 8 mm (6.11 x 2.89 x 0.31 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Huawei,nova 7 Pro 5G,2020,2020,160.4 x 73.7 x 8 mm (6.31 x 2.90 x 0.31 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Huawei,nova 7 5G,2020,2020,160.6 x 74.3 x 8 mm (6.32 x 2.93 x 0.31 in),,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
Huawei,nova 7 SE,2020,2020,162.3 x 75 x 8.6 mm (6.39 x 2.95 x 0.34 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
Huawei,MatePad,2020,2020,245.2 x 155 x 7.4 mm (9.65 x 6.10 x 0.29 in),,Nano-SIM,IPS LCD capacitive touchscreen,,10.4,1200 x 2000 pixels,5:3 ratio (~224 ppi density)
Huawei,Watch GT 2e,2020,2020,53 x 46.8 x 10.8 mm (2.09 x 1.84 x 0.43 in),,,AMOLED capacitive touchscreen,,1.39,454 x 454 pixels,1:1 ratio (~326 ppi density)
Huawei,P40 Pro+,2020,2020,158.2 x 72.6 x 9 mm (6.23 x 2.86 x 0.35 in),,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1200 x 2640 pixels (~441 ppi density)
Huawei,P40 Pro,2020,2020,158.2 x 72.6 x 9 mm (6.23 x 2.86 x 0.35 in),,Single SIM (Nano-SIM/eSIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1200 x 2640 pixels (~441 ppi density)
Huawei,P40,2020,2020,148.9 x 71.1 x 8.5 mm (5.86 x 2.80 x 0.33 in),,Single SIM (Nano-SIM/eSIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Huawei,P40 lite E,2020,2020,159.8 x 76.1 x 8.1 mm (6.29 x 3.00 x 0.32 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1560 pixels
Huawei,P40 lite,2020,2020,159.2 x 76.3 x 8.7 mm (6.27 x 3.00 x 0.34 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2310 pixels (~398 ppi density)
Huawei,MatePad Pro 5G,2020,2020,246 x 159 x 7.2 mm (9.69 x 6.26 x 0.28 in),,Nano-SIM,IPS LCD capacitive touchscreen,,10.8,2560 x 1600 pixels,16:10 ratio (~280 ppi density)
Huawei,Mate Xs,2020,2020,Unfolded: 161.3 x 146.2 x 5.4 mmFolded: 161.3 x 78.5 x 11 mm,,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,2200 x 2480 pixels (~414 ppi density)
Huawei,P30 lite New Edition,2020,2020,152.9 x 72.7 x 7.4 mm (6.02 x 2.86 x 0.29 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2312 pixels (~415 ppi density)
Huawei,Y7p,2020,2020,159.8 x 76.1 x 8.1 mm (6.29 x 3.00 x 0.32 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1560 pixels
Huawei,nova 7i,2020,2020,159.2 x 76.3 x 8.7 mm (6.27 x 3.00 x 0.34 in),,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2310 pixels (~398 ppi density)
Huawei,Y6s (2019),2020,2020,156.3 x 73.5 x 8 mm (6.15 x 2.89 x 0.31 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1560 pixels
Huawei,P smart Pro 2019,2019,2019,163.1 x 77.2 x 8.8 mm (6.42 x 3.04 x 0.35 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Huawei,nova 6 5G,2019,2019,162.7 x 75.8 x 9 mm (6.41 x 2.98 x 0.35 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
Huawei,nova 6,2019,2019,162.6 x 75.7 x 8.6 mm (6.40 x 2.98 x 0.34 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
Huawei,nova 6 SE,2019,2019,159.2 x 76.3 x 8.7 mm (6.27 x 3.00 x 0.34 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2310 pixels (~398 ppi density)
Huawei,MatePad Pro,2019,2019,246 x 159 x 7.2 mm (9.69 x 6.26 x 0.28 in),,Nano-SIM,IPS LCD capacitive touchscreen,,10.8,2560 x 1600 pixels,16:10 ratio (~280 ppi density)
Huawei,Y9s,2019,2019,163.1 x 77.2 x 8.8 mm (6.42 x 3.04 x 0.35 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Huawei,nova 5z,2019,2019,156.1 x 73.9 x 8.3 mm (6.15 x 2.91 x 0.33 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Huawei,Enjoy 10s,2019,2019,157.4 x 73.2 x 7.8 mm (6.20 x 2.88 x 0.31 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
Huawei,Enjoy 10,2019,2019,159.8 x 76.1 x 8.1 mm (6.29 x 3.00 x 0.32 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1560 pixels
Huawei,Mate 30 RS Porsche Design,2019,2019,158.1 x 73.1 x 9.3 mm (6.22 x 2.88 x 0.37 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1176 x 2400 pixels
Huawei,Mate 30 Pro 5G,2019,2019,158.1 x 73.1 x 8.8 mm (6.22 x 2.88 x 0.35 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1176 x 2400 pixels
Huawei,Mate 30 Pro,2019,2019,158.1 x 73.1 x 8.8 mm (6.22 x 2.88 x 0.35 in),,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1176 x 2400 pixels
Huawei,Mate 30 5G,2019,2019,160.8 x 76.1 x 8.4 mm (6.33 x 3.00 x 0.33 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Huawei,Mate 30,2019,2019,160.8 x 76.1 x 8.4 mm (6.33 x 3.00 x 0.33 in),,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Huawei,Watch GT 2,2019,2019,45.9 x 45.9 x 10.7 mm (1.81 x 1.81 x 0.42 in),,,OLED capacitive touchscreen,,1.39,454 x 454 pixels,1:1 ratio (~326 ppi density)
Huawei,nova 5i Pro,2019,2019,156.1 x 73.9 x 8.3 mm (6.15 x 2.91 x 0.33 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Huawei,Enjoy 10 Plus,2019,2019,163.5 x 77.3 x 8.8 mm (6.44 x 3.04 x 0.35 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Huawei,nova 5T,2019,2019,154.3 x 74 x 7.8 mm (6.07 x 2.91 x 0.31 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Huawei,MediaPad M6 10.8,2019,2019,257 x 170 x 7.2 mm (10.12 x 6.69 x 0.28 in),,Nano-SIM,IPS LCD capacitive touchscreen,,10.8,2560 x 1600 pixels,16:10 ratio (~280 ppi density)
Huawei,MediaPad M6 Turbo 8.4,2019,2019,206.4 x 125.2 x 8.2 mm (8.13 x 4.93 x 0.32 in),,Nano-SIM,IPS LCD capacitive touchscreen,,8.4,2560 x 1600 pixels,16:10 ratio (~359 ppi density)
Huawei,MediaPad M6 8.4,2019,2019,206.4 x 125.2 x 7.4 mm (8.13 x 4.93 x 0.29 in),,Nano-SIM,IPS LCD capacitive touchscreen,,8.4,2560 x 1600 pixels,16:10 ratio (~359 ppi density)
Huawei,nova 5 Pro,2019,2019,157.4 x 74.8 x 7.3 mm (6.20 x 2.94 x 0.29 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Huawei,nova 5,2019,2019,157.4 x 74.8 x 7.3 mm (6.20 x 2.94 x 0.29 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Huawei,nova 5i,2019,2019,159.1 x 75.9 x 8.3 mm (6.26 x 2.99 x 0.33 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2310 pixels (~398 ppi density)
Huawei,Y9 Prime (2019),2019,2019,163.5 x 77.3 x 8.9 mm (6.44 x 3.04 x 0.35 in),,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Huawei,P20 lite (2019),2019,2019,159.1 x 75.9 x 8.3 mm (6.26 x 2.99 x 0.33 in),,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2310 pixels (~398 ppi density)
Huawei,P Smart Z,2019,2019,163.5 x 77.3 x 8.8 mm (6.44 x 3.04 x 0.35 in),,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Huawei,Mate 20 X (5G),2019,2019,174.6 x 85.4 x 8.4 mm (6.87 x 3.36 x 0.33 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2244 pixels
Huawei,Y5 (2019),2019,2019,147.1 x 70.8 x 8.5 mm (5.79 x 2.79 x 0.33 in),,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1520 pixels
Huawei,Ascend Plus,2014,Discontinued,125 x 63.5 x 12.7 mm (4.92 x 2.5 x 0.5 in),,Mini-SIM,TFT capacitive touchscreen,,,Accelerometer,Android 4.0 (Ice Cream Sandwich)
Huawei,MediaPad 7 Youth,2013,Discontinued,193.4 x 120.6 x 9.9 mm (7.61 x 4.75 x 0.39 in),,MIni-SIM,TFT capacitive touchscreen,,600 x 1024 pixels,16:9 ratio (~170 ppi density),Accelerometer
Huawei,G7002,2010,Discontinued,98.4 x 51.3 x 13.6 mm (3.87 x 2.02 x 0.54 in),,Mini-SIM,TFT resistive touchscreen,,,,V1
i-mate,PDA2,2004,Discontinued,130 x 69 x 19 mm (5.12 x 2.72 x 0.75 in),,Mini-SIM,TFT resistive touchscreen,,3.5,240 x 320 pixels,3.5 inches
i-mate,Smartphone2,2004,Discontinued,120.4 x 50.1 x 24.4 mm,,130,Mini-SIM,,65K colors,,176 x 220 pixels
i-mate,Smartphone,2004,Discontinued,120 x 50 x 23.5 mm,,130,Mini-SIM,,65K colors,,176 x 220 pixels (~128 ppi density)
i-mobile,510,2006,Discontinued,99 x 44 x 15 mm (3.90 x 1.73 x 0.59 in),,Mini-SIM,TFT,,,128 x 160 pixels,V1
i-mobile,315,2007,Discontinued,98 x 46.3 x 15.1 mm (3.86 x 1.82 x 0.59 in),,Mini-SIM,TFT,,1.5,128 x 128 pixels,1:1 ratio (~121 ppi density)
Icemobile,Gravity 4.0,2014,Discontinued,140.4 x 75.8 x 16.3 mm (5.53 x 2.98 x 0.64 in),,Micro-SIM,IPS LCD capacitive touchscreen,,480 x 854 pixels,16:9 ratio (~244 ppi density),V1
Icemobile,Prime 5.5,2014,Discontinued,152.5 x 77 x 8.6 mm (6.00 x 3.03 x 0.34 in),,Dual SIM,IPS LCD capacitive touchscreen,,720 x 1280 pixels,16:9 ratio (~269 ppi density),V1
Icemobile,Prime 4.5,2014,Discontinued,133.5 x 67 x 9.5 mm (5.26 x 2.64 x 0.37 in),,Dual SIM,IPS LCD capacitive touchscreen,,540 x 960 pixels,16:9 ratio (~247 ppi density),V1
Icemobile,Gravity Pro,2013,Discontinued,139.7 x 76.4 x 17.6 mm (5.5 x 3.01 x 0.69 in),,,IPS LCD capacitive touchscreen,,480 x 854 pixels,16:9 ratio (~244 ppi density),V1
Icemobile,Quattro,2012,Discontinued,104 x 54 x 10.3 mm (4.09 x 2.13 x 0.41 in),,Dual SIM (Mini-SIM),TFT,,320 x 240 pixels,4:3 ratio (~174 ppi density),V1
Infinix,Hot 9 Play,2020,2020,171.8 x 78 x 8.9 mm (6.76 x 3.07 x 0.35 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1640 pixels (~263 ppi density)
Infinix,Note 7,2020,2020,173.4 x 79 x 8.8 mm (6.83 x 3.11 x 0.35 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1640 pixels (~258 ppi density)
Infinix,Note 7 Lite,2020,2020,165.4 x 76.8 x 8.8 mm (6.51 x 3.02 x 0.35 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1600 pixels
Infinix,Hot 9 Pro,2020,2020,165 x 76.8 x 8.7 mm (6.50 x 3.02 x 0.34 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1600 pixels
Infinix,Hot 9,2020,2020,165.4 x 76.8 x 8.8 mm (6.51 x 3.02 x 0.35 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1600 pixels
Infinix,S5 Pro (16+32),2020,2020,162.5 x 76.9 x 9 mm (6.40 x 3.03 x 0.35 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
